X1	Y1	X2	Y2
150		150		250		24950
150		14950	24950	24950
14950	150		24950	24950
150		150		24950	250
11300	1400	22050	2400
12100	1200	23150	2200
12350	1200	22350	2950
12050	1400	22050	2900
12050	1900	21300	2900
11300	1400	21300	2900
13500	1200	23500	21650
12250	12150	21700	22150
12600	12150	23100	22150
12200	13350	21700	23350
11700	13600	23100	23600
13100	13350	22600	23350
13100	12900	23100	23350
13100	12900	23350	22900
13350	12900	23350	24100
13100	12600	24600	22600
13100	12150	23100	22600
11700	12900	21700	23350
11700	12150	21700	22600
12050	11200	22900	21200
12400	11200	22400	21600
12000	11600	22950	21600
12350	13600	22350	24650
12350	14650	24950	24650
12350	14650	21400	24650
11250	14950	21250	24450
11250	14450	22000	24450
11250	14750	2350	24750
1350	14750	2350	24150
1350	13800	2350	22900
11450	12900	2650	22900
11450	12600	2650	22600
11450	12600	21450	21700
11450	12900	21450	23350
11450	12250	2650	22250
1350	12550	2350	21500
1350	11700	21450	21700
1650	12250	2650	22600
13350	13800	22650	23800
12650	13800	22650	24100
12650	14300	22650	24650
12650	14300	24600	24300
12650	14100	23350	24100
14600	14300	24600	22600
13650	12900	24600	22900
13650	12900	23650	23550
13650	13800	23650	24300
13900	13500	23900	24100
13900	14100	24100	24100
14600	14100	24300	24100
14300	14100	24300	23800
14450	13800	24100	23800
13900	13300	23900	23100
13900	13300	24300	23300
13900	13500	24150	23500
13900	13650	24250	23650
14250	13300	24250	23650
13900	13100	24300	23100
14300	13300	24600	23300
14450	13800	24450	23450
13450	11950	24950	21950
13850	1950	24700	2950
14250	1950	24250	21650
14250	11650	24700	21650
14700	1950	24700	2350
14700	1350	24250	2350
14250	1350	24250	250
1700	13950	21700	23950
11700	13600	21700	23950
11050	13750	21050	22900
150		1900	2850	2900
1850	1900	2850	2400
